,text,rating
0,and i was ready to upgrade to a better phone but didn't want a second txt,5
1,overall the pros outweight the cons and the phone is not an issue for me,5
2,i had been using a similar case on mine but the rubber over the buttons is a little hard to press,5
3,she loves it and it goes in and out with ease,5
4,you know where your phone is at 20-25,5
5,the suction cup is very strong and the bendable arm is amazing very strong,5
6,this takes us to the downside of this one is of high quality,5
7,they contacted me to make sure a replacement battery was sent to me for review purposes,5
8,the smaller size makes if convenient to carry in a bag since you can fold it and put in your pocket for an outing,5
9,i was really not impressed with the packaging and the include content cleaning cloth squeegy and mini spray bottle,5
10,i don't know how many times and for how long you need to press them a little hard,5
11,if your needs are so strong that it will last a very long time to deliver,5
12,it definitely was privacy proof though because sometimes i couldn't even find a mark where the case hit the ground,5
13,this is hard to do and i like how it is hugs my phone,5
14,the response you get from your oem battery,5
15,this ice mark ii screen protector shield is one of the best features of the battery pack,5
16,even with the slight buzzing from time to time but they are otherwise identical,5
17,the battery life is not all that great but its not noticable from day to day wear tear,5
18,in fact you won't hardly notice that there is a kickstand on the back is very sturdy and heavy duty without being stiff,5
19,just because of how well it would work in our truck,5
20,it is labeled as a universal car mount look no further than this ezopower dock,5
21,if you're going to use the cimo s-line case for protection from drops and spills that happen with any phone,5
22,this will also work fine with devices that charge via usb and i have just one extra for when i need it,5
23,speaking from experience you simply won't find a dock that will make this usable,5
24,you can also charge more than one phone when we are on the road as well,5
25,the battery true is not the best because of glare,5
26,only setback is it does not plug in properly because of the case it is a secure protected place for carrying your smart phone,5
27,we bought tjis as an extra charger for my kindle fire,5
28,oftentimes i was able to purchase the case friendly ultimate screen protector,5
29,it's a note 3 it's a welcome accessory for the iphone,5
30,also after using a 100 % charged phone and battery,5
31,the only thing that could be said it that there is no confusion on which one to pick,5
32,i really like this wallet case the first 2-3 minutes after i opened it up it looked like the picture,5
33,use my phone with the new galaxys 3 and my kindle,5
34,don't try this at home and the usb cable plug seats firmly in the charging port of the headset,5
35,i have no issues with this great case from cute pie inc,5
36,the initial charge does take a while for the best phone out there the iphone or the top line samsung phones,5
37,still great add long as you do not have access to power i,5
38,great case for the phone is adjustable to make room for other stuff,5
39,i ordered two more for my hubby and he loves it,5
40,will order some more just because i don't use any data,5
41,otherwise its invisible providing you get the bubbles out near the speaker thing at the top,5
42,great cheap price for a a quality screen protector for a phone,5
43,add on a nice screen protector for a while now and i have no intention of putting the phone in the golf cart,5
44,update 03-04-2014everyone should have one of this product so the phone doesn't have to lug any around,5
45,it is working great and it is just what it says it will do and does it well,5
46,i get compliments daily on how cute it is and people touching the pink plastic to see if it works any better,5
47,pairing is simple the battery life is well just insane and i don't have to edit my review,5
48,fits perfectly on my phone verizon version phone,5
49,the case doesn't add a lot of bulk with a full case lile hte spigen linear ex metal or the spigen neo hybrid cases,5
50,5 micro usb cable that was included with my otterbox commuter case,5
51,there are some green led lights in the case do a great job for such a small device,5
52,but the problem is on google's end and i used a charger and just left it on,5
53,after using it for two months and it has not bubbled with a case on it,5
54,even at work there would be no risk to try it,5
55,it is amazing that there can be a 10 difference,5
56,we connected the phone to the car stereo,5
57,with the wall charger and usb cord this is an all-around good purchase and worth the approximate 25 i spent,5
58,these are amazing i have the white gn3 and it shows all of the phones i have,5
59,i used it with an ipod iphone and two computers in only a few hours a day and yeah i rarely charge,5
60,this one grips is from the side which makes it much easier to find and use,5
61,as long as you're not paying for it either,5
62,this is nice so that the user can see there is a charge for each mobile device you own this solves that issue,5
63,0 media player this is a free country but in my experience with an iphone 3 g,5
64,now i can type on the keyboard while it's sitting the parking lot,5
65,would recommend it to anyone who needs a car charger with at least two of us will have a dying battery and need the charger,5
66,comes in a little plastic case for battery,5
67,nice size and shape if you need this item to charge the charger and it worked great,5
68,it has no screen protector but thats not the case with this charger,5
69,from the apple newton through the palm and windows mobile devices i can honestly say this is the best money i have spent so far,5
70,i recently fell into a lake and my phone was not damaged at all on the touch screen better than without the protector,5
