,text,rating
0,breakfast was great and pool was just the right size for a concert party,5
1,my biggest take away was that the staff was very friendly and helpful directing us to several,5
2,the shower and bath were very clean and the breakfast was very good,5
3,i recommend the suite with the whirlpool bath in the room and the wake up call was punctual,5
4,our son in law and grandson had a great time at elk springs resort serenity lodge,5
5,the manager and staff were very nice and friendly and willing to help,5
6,stopped at this hotel on our way to a family event in st,5
7,the rooms were very large with large bathrooms and the view from the sea view rooms is like a dream,5
8,the small fridge in the room made a loud noise but i was able to settle it with the front desk,5
9,staff was extremely helpful and went out of her way to make my me feel like i was at home,5
10,the back porch and patio are especially nice and we had a wonderful time at hotel villa carlotta,5
11,we stayed at knight's inn as part of a road trip of california,5
12,sombrero resort and marina was in a perfect location for wandering around historic alexandria,5
13,the accommodations are very nice the hotel is very clean and located close to carilion roanoke memorial hospital,5
14,we've stayed here multiple times and have always had a four star experience,5
15,i travel putting locks on the hotels motels and i was surprised to see an iron board included but no blow drier hair,5
16,we enjoyed watching the ocean from the balcony and the sound of surf at night,5
17,the bed is so comfortable so if you're looking for a staging area to do the denali park tour,5
18,this is our 3rd year returning to gatlinburg and i must say this hotel stay was one of the best i have ever seen,5
19,every single person on the staff greeted us with a smile and a buenas dias,5
20,my husband and i spent 2 nights at the inn,5
21,this was a great place to stay great amenities the food from the restaurant is excellent and the buffet breakfast superb,5
22,my girlfriend eileen and i had a wonderful evening at the best western in sunnyvale ca,5
23,we stayed there one night on our way home from montana,5
24,hotel was older but very clean staff couldn't have been nicer and treated us like family,5
25,the keys were waiting on the door for us when we arrived so check-in was a breeze,5
26,hotel service has always been top notch have stayed here several times in the last few years and will do so again,5
27,great hotel within walking distance of the hotel,5
28,we always have a pleasant stay and the hotel staff was extremely helpful,5
29,there were a few hiccups in our stay but we had such a nice view of the area plus a mountain view,5
30,i am from old town and i stayed in this hotel for one night of a two night stay in branson,5
31,my family and i enjoyed the pool after a long drive to help relax,5
32,the food a the view was very good and the service was great,5
33,we travel with our dog and we all had a great time,5
34,my husband and i married at the garden of the gods club resort for a 4-day mini vacation,5
35,when my granddaughter and i arrived we were told that we had a hot tub in our room,5
36,they gave us a room for the night and was impressed with the clean rooms and low prices,5
37,i was delightfully surprised when i got to my room i no longer cared,5
38,i would definitely stay again although i wish the price was a little high for abilene but it was a clean quiet hotel,5
39,me and my fianc stayed here for one night in a 2 queen suite,5
40,it has a great location within walking distance from chase field,5
41,the staff here was exceptionally friendly from the moment i arrived until the moment i left,5
42,the lady that runs it was very nice and kept the breakfast area immaculate,5
43,the room was so clean and so nice i could have stayed longer but we only needed one night,5
44,the staff is great the food is yummy the rooms are clean and quiet the bed comfortable and the pillows were awesome,5
45,the food was fabulous and the guests are still raving about the experience a week later,5
46,management made it easy to check in and check out was great no problems at all,5
47,very nice upscale hotel right in the heart of town with easy access,5
48,easy walk to downtown and easy access to the rooms themselves this is a great place to really relax or,5
49,travel on business and this is by far the best cheap hotel in columbia,5
50,we believe this to be a great place for an extended stay as well,5
51,the bed was the best we have ever stayed at,5
52,i always stay at this particular hotel every time i am in town i will definitely stay here all the time,5
53,the hotel was clean employees were diligent cheerful and helpful the location was convenient to basically everything food shopping entertainment transportation in alexandria,5
54,i arranged a stay for a bus tour group and we had a great experience and will definitely return in the future,5
55,several people deserve special praise summer at the front desk was a pleasant bonus as well,5
56,this has to be the best stay at a hotel that i actually wanted to take the pillow home with me,5
57,convenient to tje water and a short walk to the hectic area of the french quarter,5
58,room conveniences include data port phones with voice mail free high-speed internet access in-room data ports and cable television,5
59,bed was comfortable and the lady in the office was really great too,5
60,the bar area is centally located and everything was new and clean and the staff was out of this world,5
61,the cabin was very easy to find on the main street through the town,5
62,the hotel was very convenient to everything we needed,5
63,traveling from florida to wisconsin needed a room for the night but will be staying there everytime we are in town now,5
64,i love hotel deca as it is so close to the pressure isle casino,5
