,text,rating
0,the plot was amazing and creative with the one of the best marvel movies ever to be created,5
1,the only good hulk movie that is one of my favorite movies and it is not without its merits,5
2,warning you have got to watch the end of the credits could the second outing top the previous outing,5
3,the latest chapter in the marvel cinematic universe the avengers age of ultron is action-packed entertaining and very surprising,5
4,within ten minutes of the movie you could tell it was going to be good nobody else could possible play the role,5
5,off the box its so much better then the amazing spider-man 2's obnoxious use of the studio album,5
6,and it features one of the best villains the mcu has ever had that being thanos,5
7,the film that started the marvel universe and is still one of the best and most entertaining marvel movie yet,5
8,even though he desperately wants to be a part of that universe to be watched enjoyed,5
9,age of ultron features brand new characters one of the best super hero movies of all time to date,5
10,black panther is not only possibly the best marvel movie it was even better than guardians of the galaxy vol,5
11,i still think edward norton should have been the hulk in the avengers movie instead of mark ruffalo,5
12,the musical score by ramin djawadi is one of the most spectacular scenes in a superhero movie,5
13,of all of the massive financial hits in history the avengers is one of the best of the mcu and of superhero films in general,5
14,probably one of the best movies i've seen in a really long time,5
15,this is the one film in the marvel cinematic universe the avengers age of ultron comes out,5
16,coming from a massive spider-man fan spider-man homecoming is the best spider-man movie ever,5
17,he was the funniest and the wittiest and you can't help but have a smile on your face,5
18,the movie is about the guardians of the galaxy who must unite to stop ronan the accuser lee pace from the hobbit trilogy,5
19,great movie good likeable characters great action and it's in the mcu which is really good,5
20,it was very good maybe even better than the first one action adventure kickass little romance,5
21,a great addition to the marvel cinematic universe which is still going on strong,5
22,guardians is a triumph and a fresh take on the wall-crawling web shooter,5
23,he was the funniest and the wittiest and you can't help but love the talent in this movie,5
24,it brilliantly blends electric guitar with classical orchestra a fresh approach to a superheros comic book movie adaptation,5
25,black panther is honestly one of the greatest superhero movies of all time and one of the best superhero films to date,5
26,i would recommend to this movie to anyone who likes super heros and action,5
27,out of any superhero movie i've seen to this day,5
28,the movie that started the marvel cinematic universe in a perfect way,5
29,lastly the post-credits cutscenes sets the massive stage for the marvel cinematic universe and leave a truly inspiring message,5
30,great movie good likeable characters great action and it's in the mcu which is really good,5
31,this movie was the perfect way to start the marvel cinematic universe 95 100,5
32,ant-man does a good job at juggling each role,5
33,a breath of fresh air in comparison to the rest of the mcu with the introduction of an infinity stone,5
34,ant-maneven after ten movies in the marvel cinematic universe black panther has proved to be the best yet,5
35,mark ruffalo's portrayal of bruce may not be the best mcu pic but it's definitely the funniest,5
36,it's hilarious perfectly blended and has just the right amount of menace and subtle psychotic edge,5
37,for a marvel fan like me it is a very good movie that is very enjoyable for everyone,5
38,the characters are good and there is a lot of fun watching spiderman grow into his power,5
39,there's nothing such as a perfect movie but it is definitely a damn good movie,5
40,not only the one of the best marvel movies a classic,5
41,avengers age of ultron was the best movie of the year and one of the best motion pictures ever made,5
42,overall this well directed movie is one of the greatest superhero and comic book films ever made,5
43,it is a completely new and different type of spider-man movie that is by far the best marvel movie,5
44,spider-man homecoming is one of the best comic book adaptations to date,5
45,i personally thought that this was one of the best new movies i have seen in a while,5
46,i feel this one is so much better than the first with it's humor soundtrack characters and it's villain,5
47,avengers infinity war is by far the best of the two,5
48,to be more specific i think this is the best iron man movie by far,5
49,keaton is another one of the marvel cinematic universe in a perfect way,5
50,one of my favorite movies of all time and one of the best superhero movies of all time,5
51,personally i think this was easily one of the best superhero comic movies ever made,5
52,the avengers is no doubt the best avengers movie and also the best blockbuster in several years,5
53,considered a modern classic by many the avengers might be the best marvel movie ever made,5
54,even though logan is my movie of the year and one of the best marvel flicks,5
55,it will stand on its own fine in the marvel cinematic universe mcu marvel can still surprise us,5
56,i still think edward norton should have been the hulk in the avengers movie instead of mark ruffalo,5
57,he doesn't think that he is better than the avengers because its story is more exciting,5
58,it is one of my top 10 favorite movies of all time and the best marvel movie of all time,5
59,black panther resonates well with the global audience because it's a film that even new comers who won't understand will like,5
60,it is a good one in the guardians of the galaxy avengers the olds and the news black panther etc,5
61,guardians of the galaxy is one of my favorite movies of all time,5
62,this movie was filled with action a little bit of a stretch to get them in,5
63,by far the best movie i've seen in a long time,5
64,this movie was one of the best mcu films yet,5
65,a great movie very funny and lots of action and great effects,5
66,amazing cast and amazing hero's one of the best superhero film i ever watch this year,5
67,the antagonist ultron james spader proves that the marvel cinematic universe will never be the same again,5
68,a great story excellent world building fantastic cast one of the best villains proving that marvel can have good villains if they try,5
69,how we managed to see ghost fighting ant man and the wasp was action packed humorous and intriguing to watch,5
70,this is the best movie i've seen in a long time,5
71,avengers infinity war dazzles viewers with great special effects and some of the best action sequences ever seen in cinema,5
72,honestly best film i've seen in a really long time,5
73,this is what we've been waiting to see plus more,5
74,thrilling and funny avengers infinity war is one of my favorite movies and it is a fantastic example of pure entertainment,5
75,it was one of the best films in a while and in my opinion the best superhero movie ever made,5
76,off the box its so much better then the amazing spider-man 2 was released,5
77,some scenes can really stand out and overall this movie is one of the best villains that marvel has put out to date,5
78,it is a completely new and different type of spider-man movie that is by far the best spiderman movie ever made,5
79,well it's definitely the best iron man movie of all time and mcu movie of all time,5
80,great movie good likeable characters great action and it's in the mcu which is really good,5
81,love this film one of my all time favorite marvel movies,5
82,the first film in the marvel cinematic universe but even if you haven't seen it yet get on it,5
83,but this one starts you out in the middle of the desert sparked my interest as designed again,5
84,this is the best marvel movie and the best movie i've ever seen from the cgi to the costumes drama action,5
85,i still think edward norton should have been the hulk in the avengers movie instead of mark ruffalo,5
86,one of the best iron man movie is because this is the movie that proved that the mcu worked,5
87,black panther is definitely not the perfect movie but it is probably close to the best movie it could have been,5
88,spider-man homecoming is one of the best marvel movies to date,5
89,this is why spider-man homecoming is one of the best mcu movie,5
90,i think this is one of the best marvel movies i watched ever,5
91,amazing movie tom holland is the best spider-man and peter parker of all 3 actors,5
92,age of ultron features brand new characters one of the best super hero movies of all time,5
93,i love the first guardians movie it's one of my favs this is one can watch over amp over,5
94,2 is better and funnier than the first film and is one of the best movies iv seen in a long time,5
95,the highlight of the year so far between guardians of the galaxy ii four times two of which were in rpx 3d,5
96,we have finally gotten the spider-man movie i have ever seen,5
97,avengers age of ultron was the best movie of the year so far,5
98,black panther has to be one of the best superhero comic movies ever made,5
99,the characters are good and there is a lot of fun watching spiderman grow into his power,5
100,there are a few places in the middle of the action and never stops,5
101,there's nothing such as a perfect movie but it is definitely a damn good movie,5
102,otherwise guardians is the best mix of comedy and action that can really make anyone happy,5
