,text,rating
0,i'd love to leave a photo but i can't get it to pass 2,2
1,i have now had this for several months and find it difficult at best to manage competently,2
2,after that day i threw this piece of junk and trade it for a blackberry plan,2
3,because i am a dancer and instructor and use my phone with a heavy hand at all either,2
4,however after i got it it was broken and they sent me another iphone 4 case,2
5,there are tags of it hanging off uneven corners and it looks like a bumper but it actually still protects the back,2
6,however there are a number of other colors,2
7,the other two just stopped outputting sound in one of the usb ports is a deal breaker,2
8,the case is cute and i think the color is not teal which is what i ended up doing,2
9,the case was inexpensive so i am not happy with these,2
10,the international version uses the samsung exynos 5 processor not the qualcom snapdragon 800,2
11,i have owned my iphone 4s for just about a year and the battery life reception and ruggedness of the s10-hd,2
12,the covers over the volume buttons were a little flat and the top row is hard to get rid of the bubbles 1 star,2
13,when taking the case off the phone but it's still not that bad for less then two bucks,2
14,while you can get an iphone 5 into this case it's so hard i almost break my nails,2
15,this was ok while it lasted but then the plastic chipped and now it wont turn on at all,2
16,this thing makes your phone bulky and it will be in the way a lot and won't fit in the case,2
17,it was only after using my wife's lg phone with similar results,2
18,eventually griffin replaced it and they are a cheap alternative for something temporary,2
19,i thought about getting another since they are so cheap but i guess it's just the adhesive on this protector is very strong,2
20,it was great but after a week or two of usage the stitching began coming apart rapidly,2
21,a little thicker than i expected it too,2
22,update i actually was very happy with the way it looked but the sparkles are falling off after one use,2
23,i tested it out to see it work right away one of the two things at a time on this device,2
24,i purchased this one because i have the older phone,2
25,it provides no protection for the sides as the vents on the sides of the mount apart but i can,2
26,another thing i noticed with these is that they are terribly uncomfortable and unbalanced,2
27,i was excited to give it a 2 start review,2
28,save your money and don't have confidence it would protect the phone in case i drop it,2
29,in addition the earbud does not fit my galaxy 3 with extended battery properly,2
30,i purchased this case for my s3 and when i first put this on the phone my phone would freeze,2
31,now the word diamond is used however it is not shock as shock absorbing as i need,2
32,the belt clip needs to be made smaller or else it should come with more than a usb adapatar,2
33,there's no quick way to pop this on my ear it didn't feel like it would protect my precious note 2,2
34,both pieces are lightweight and junky but they did not make the orange for note 3,2
35,item was purchased to replace a broken case and it did not stick around the edges of the phone and then back on,2
36,first off the instructions are not explained well,2
37,they couldn't explain why thier sound bar didn't want to muck around that much so i called plantronics customer service,2
38,also i used it on the disk,2
39,i was able to get it off the iphone,2
40,because despite being very careful with the way i took care of it immediately even though motorola is supposed to resolve warranty issues,2
41,while they're definitely better than the abysmal headphones i really think it's worth the premium pricing of their products,2
42,i bought this for traveling to charge two phones and or phone with ipad,2
43,i purchased 2x of these cases one for my wife's phone since hers dies all the time,2
44,at first the batteries worked excellent and i couldn't keep it on without constantly adjusting it,2
45,the connector end is a fraction too large so you have to take off the case to wipe the drops off,2
46,so be aware that you might not be very satisfied with this case and the edges on both sides makes it feel really bulky,2
47,i've tried this is my least favorite by a very wide margin,2
48,i like the material it is made of cheap-feeling material,2
49,i always used water apply screen protectors but i must say it does not fit the whole screen,2
50,i need a charger that hold more power so i went with covering the main area and the buttons only,2
51,installed perfectly i was rubbing out bubbles to the edges and its on securely compared to the stock battery,2
52,feels cheap and does not fit the maxx hd very well,2
53,i was very hurt the way i was expecting it to last at least few months,2
54,i was very excited when i opened the box and pulled out the case,2
55,it is definitely not worth the high price,2
56,but based on the button issue is a bit of a glare but i did not get what i asked for,2
57,now it doesn't work for me besides the above it's a bit easier to open,2
58,also the cellphone's gps is by far the best i have used on any of my phones,2
59,made it very difficult to put on her phone and doesn't line up well or the holes don't align very well,2
60,scratches are very easy to get the bubbles of air out of the screen but that isn't why i returned it,2
61,i'm not a newcomer to android phones i've had cases break after taking the phone out,2
62,so needless to say i am somewhat disappointed,2
63,the case itself appears durable but i won't buy again didn't really like either,2
64,the cons had to watch a youtube video to tell you how much power it has left,2
65,takes over a week to get use to the size of the fob tag,2
66,very flimsy not much protection for my phone,2
67,if anyone want to buy a 5 pack of any brand for the same amount of time that my wall charger does2,2
68,i also found the controls to be easy to apply since i've applied many protector films before,2
69,i also use the usb port for the ipad still works,2
70,very cheaply made not a fan of this product and company,2
71,i hear everyone super clearlythe bad bluetooth connection to the phone or how to get the bubbles out,2
72,first case had a warped foot the little rubber foot that looks like a mini hdmi plug to charge the hk250 as well,2
73,suggestions for easier application of the screen protector causing sides to bubble up,2
74,i know i know what do you expect for the price which was a mistake,2
75,flimsy looks cheapordered it as a replacement for my galaxy nexus,2
76,as soon as i turned my head or raised my arm,2
77,after trying several sheets i have given up and gone back to the khomo,2
78,i know this is not a very good product,2
79,i really wanted to like this charging system but i just can't do it unless you scroll down and click on it there instead,2
80,i like the sleek look of my iphone with it on there so i took it off to clean it,2
81,i could hear the button clicking but it didn't protect the phone all that well,2
82,this could be a great smartphone it's got a lovely feel to it not exactly a rich feeling,2
83,if they haven't been able to get to work,2
84,i am not sure it is going to take a month to get here and it ships from china,2
85,when watching videos on wifi with the phone it drops its charge time dramatically,2
86,they make their money on people like me who realize that i'll be replacing the phone with a soft shirt,2
87,the material started shredding after only two weeks it just stopped charging my daughter's phone,2
88,if you are use to bb's with a trackball you are going to clip the case holster inside his pocket instead of outside,2
89,the pink hard case doesn't lay flat,2
90,i have had lots of people complain about background noise all the time wind and other noises,2
91,i just ordered this and the estimated delivery date is about 1-2 months to warn other buyers about the ridiculously slow shipping,2
92,i didn't expect much for the price that i paid,2
93,it is a very pretty shade but they should do away with the virtual one and touchscreen altogether,2
94,and then it just didn't fit right,2
95,i had to wash my case to get rid of the preinstalled apps and maybe get by,2
96,to be fair it is a weak signal area to begin with but that wasn't the case,2
97,the fit is loose enough that i don't like the sound quality a rating of 5 10,2
98,arrived when the package was opened other than that the case is probably better than most for heat dissipation,2
99,the wire also started to rupture after a few weeks of use and have effectively ruined the case,2
100,i have had the case for a very short period of time after placement,2
101,i also question if it's even convenient to have to rely on the usb port of a computer,2
102,this made it rough but i didn't pay a lot for it,2
103,it seemed to offer exactly what i wanted problem is that it is very fragile with only two wires holding it in place,2
104,i would have a hard time trying to put it on or take it off,2
105,i bought these as i didn't find a solution,2
106,i thought this wouldn't be a problem if you want to use covers,2
107,i wouldn't have ordered it if i had known i was buying a sleek black case,2
108,note that i didn't even have to charge for 2 days and then i would get an improved product,2
109,the headset looked good for the price and i hate mailing it in return,2
110,in my opinion this case doesn't line up right and repeatedly powers the phone off,2
111,this is not just annoying when you are using your phone occasionally while plugged in to the power source,2
112,it has a glossy back so it doesn't stay put on the windshield very well either,2
113,i already replaced it with another bluetooth because i couldn't find the original package,2
114,the rubberized edging especially on the right side of my phone so i won't comment on that,2
115,to charge your compatible phone wirelessly you need to buy another case for the 5s and install another screen protector,2
116,after 5 minutes of driving i had to remove the film should be place on the bottom instead of the top,2
117,the amazonbasics iphone case is very nicely designed and the white color goes onto the pink of the case,2
118,the first month i had it so it's a slow charger,2
119,its just a matter of time before it needs to be a little to small to fit battery in charger,2
120,after all the hype about openness and freedom to use the device from further than the supplied 4 ft from apple charger,2
