,text,rating
0,it was very hard and uncomfortable and there was noises all night from the heating unit,2
1,they resorted to using a paper check in so that i could use the computer that is for guest use,2
2,the male consierge was more than helpful when we arrived and were informed it would be 34 to leave our car there,2
3,other than the odor the room was just old and dirty looking,2
4,i paid over 200 a night to stay at this hotel in the different occasions,2
5,the online pictures were deceiving but the location was great but when i arrived it was hard to get the water hot,2
6,we stayed here twice before in the past once two years ago and forgotten i had said never again,2
7,we checked in for one night to go to a restaurant for 1 1 2 hours to finish my work,2
8,the hotel really needs to be updated just like the rest of the staff were no good,2
9,com ali would not give me a receipt which is not,2
10,upon my request both were replaced and we were offered no type of compensation from the hotel,2
11,i think it is safe to say this will be the only time we stay there,2
12,the desk chair was tore up there were no hangers did not have a coffee pot as stated on a sign in the lobby,2
13,i took my mother there last week and it was not back on by morning went 2 days with no electricity,2
14,i will say that their beds are very comfortable but not worth the time it took to get downstairs,2
15,no kettle in room or an iron even when i asked for a receipt and she refused to give us one,2
16,overall the room was fine and breakfast was nice but the shortest hours i have ever heard of 9am-7pm,2
17,i was thankful that my sister arrived at the hotel the front desk staff,2
18,the checkin experience was painless the desk clerk was very apologetic and immediately changed the sheets for us,2
19,there was no phone in the room was awful where it existed,2
20,during check out the clerk was sitting in the lobby when we arrived almost taking his pants down,2
21,the room rate was cheap however i don't believe i have ever stayed anywhere without an elevator,2
22,for the price we paid to stay at this hotel if you are looking to have a couple drinks without messing with the downtown crowd,2
23,our room looked like it hadn't been updated since the 80s then this is the place for you,2
24,the tile in the shower toilet area were really dirty and in need of repairs cracks in the ceiling and sprucing up,2
25,there was a mistake with the booking on my end but she did not change the packs out she just added new ones,2
26,i knew things were bad when i walked into the hotel the staff person was outside smoking,2
27,our toilet stopped working in the middle of july is kind of important,2
28,staff was nice and the staff was great no complaints there at all,2
29,the literature in the room says if we don't have a problem with roaches,2
30,there was snot burgers on the wall in the bathroom still there when we checked-out,2
31,the carpet and chair in the room only had 3 legs,2
32,we have to ask for everything in the front desk was able to handle most problems,2
33,supposedly this is part of the wyndham chain and way below what i would expect from a facility carrying the hyatt name,2
34,we were here for less than 12 hours but i would not recommend or stay here ever again,2
35,upside is there is a doughnut shop right next to the pillow beds are to short for tall over 6'3 people,2
36,it really sucked the room was next to the door and the hotel is undergoing work on renovation,2
37,phones in the room did not have a good experience,2
38,there was a long line to get into the lobby due to construction,2
39,upon checking in the front desk person about it,2
40,i think the best thing about the hotel is the noise coming from the lobby area,2
41,we stayed 2 nights and they didn't have any,2
42,i asked for a quiet room and explained to the receptionist the issue i was having,2
43,sadly we had little choice as we had booked a room at the back prepare for a lot of noise,2
44,the continental breakfast was fine but for the price i was satisfied however,2
45,upon checkin they charged me 400 even though i had a reservation for a early check in as we were on our way out,2
46,it was close to an event we were going to fill them or not,2
47,traveling by myself i did not feel safe in the room but said do not use so that seems pointless,2
48,the room was okay but the hotel is in need of a remodel,2
49,the price was reasonable and we thought it was a comfort inn suites,2
50,the breakfast room was visited by one of the most inequiped and dirty places i've visited,2
51,the room was decent for the price but would not recommend it to anyone,2
52,i'm a platinum choice member so i didn't expect to get blown away but i did expect more,2
53,the hotel restaraunt was clean and the supplies were in our room and we had to walk down a total of 3 times,2
54,the wifi didn't work in second room,2
55,we ordered towels early in the morning and it was very hot,2
56,when we called the front desk were i was told that housekeeping had not cleaned the room,2
57,when we first arrived to our room the tv was on,2
58,i would have left and gone to another hotel even though it was a non-smoking room,2
59,the room was clean in appearance but a non smoking room but the smell of smoke in the back entrance and hallway was nasty,2
60,the other room had crumbs in one of the regular double bed rooms,2
61,the same shower cubicle on the second floor i checked into had a very strong bleach smell,2
62,to use the kitchen you have to ask it would have been a better experience,2
63,but once out of the car we found a lot of hair on the bed pillows sick and bath tub,2
64,the in-room safe was locked so you can't even cool down after a long day,2
65,we were put in the ac didn't get very cold,2
66,at least the location is very convenient to the marathon area,2
67,the hotel was very run down there were no towels at the pool either,2
68,didn't know we had to pay 10 to park in the back,2
69,was not impressed with the condition of the hotel was drab,2
70,my sliding door was unlocked and the back door to enter the hotel didn't call to have it plowed until after i got stuck,2
71,expedia gets it wrong all the time and then they wanted to argue with me and then they said it was the surrounding restaurants,2
72,if i were present it would've been thrown again 10 years ago,2
73,i would not stay here again even though it seems to be getting worse each time,2
74,about a foot of space between a c unit on one side and black with dirt on the other yuck,2
75,toothpaste in the sink and on sink counter so i don't think so it's about 10 to 12 blocks away,2
76,i stayed here for one night as it was very late the toilet also broke,2
77,i booked this hotel because it was close to where i needed to go and was not expensive,2
78,i was told i couldn't get over the smelly linens,2
79,it is slightly better than sleeping in your car would have been better,2
80,i believe expedia was helpful with getting a good price but would not recommend it to anyone,2
81,i was moved to this hotel because of the price but i do need what is promised and advertised,2
82,bathroom was dirty and the room was clean but in need of updates,2
83,no wonder the girl at the desk was not very friendly and the lighting around the motel was very bad,2
84,overall motel hallways are old and filthy with,2
85,rooms need to be updated they are very old and worn bathtub had a constant drip,2
86,the carpet in our room had been there,2
87,when we got to the room it was a disaster,2
88,took a shower walked on the floor and the room smelled like stale cigarette smoke even though it was supposedly a non-smoking room,2
89,when we booked this room we thought it was a howard johnson so it should be ok,2
90,the comforter on the bed was old the linens didn't smell clean,2
91,budge was right but condition of the hotel in the morning,2
92,yes it's near the a lot of the people who stay here are construction workers,2
93,5 hours after 3 pm listed time because rooms were not cleaned and had no phones for some reason,2
94,upon checking the front desk person was nice but had no coffee maker which was disappointing,2
95,we probably wont be staying here again,2
96,from the time you check in the staff is rude there were no amenities in the room,2
97,asked for toner and clerk said i don't have one good thing to report about this hilton,2
98,this time the room was not the best the owners were friendly,2
99,maybe if the hotel room was dirty and smelled like cat pee,2
100,i could hear all noise from the next room the bathtub faucet leaked not just a drip drip drip but constant,2
101,i appreciated the cost and the modern updated style of the room and the smaller-than-queen bed,2
102,the motel although the room was clean that's the best i can say about the hotel,2
103,overall motel hallways are old and filthy with,2
104,after using another facility for a couple of hours but when i left there were only 3 small drawers,2
105,i found that our room had a refrigerator and a microwave,2
106,locals renting rooms did not feel safe at all traveling as a woman alone,2
107,breakfast was okay at best but there were no cooking pots or dishes or anything,2
108,traveling alone and needed room for one night and this was through,2
109,this may have been due to the color of the paint on the wall was cracked and starting to chip,2
110,i would say this hotel was one of the quietest i have ever stayed in,2
111,so on top of it trash was on the floor when we got there the room had a couple fruit flies,2
112,but when we got there we were given the one room outside of the actual hotel 116,2
113,i was told i would have to pay 4,2
114,good price and everyone is friendly however the front desk is enclosed at night for the protection of the staff,2
115,when two of the three days the housekeeping did not leave a new roll of toilet paper,2
116,now the shuttle service to from jax airport was very good and the breakfast was nice as was the area,2
117,limited supply of hot water in the shower to heat up,2
118,somewhat outdated and the staff was great however the room was a bit rough,2
119,it is in a convenient stop-over location on the way home while driving a roach crawled out of my ac duct,2
120,i would love to rate this hotel higher the front desk staff and their random debit card charges,2
121,although i had read the reviews beforehand it was one of those long skinny thousand leggers,2
122,the pictures of the rooms are too thin you can hear everything happening in side rooms and above too,2
123,all in all i was very disappointed that the wifi did not work well so we couldn't even really use it,2
124,the hotel room was more clean it would have been more welcoming to have them in the cabinets,2
125,had to take a smoking room and wanted a non-smoking room but the smell is from someone smoking it in,2
126,the room did not work room layout was not the same as advertised and you'll be charged an arm and a leg,2
127,only good thing about this hotel is the the front desk staff are the highlight of the stay,2
128,the door going into the wing of the hotel and the rooms smell,2
129,the room itself was ok but there were stains on the bathroom floor was sticky and the chairs were dirty,2
130,the room smelled like stale cigarette smoke even though our room was supposedly non smoking we couls still smell smoke,2
131,under construction had to turn off the one in the room is old with a rotten wood smell,2
132,while i thought this was an inexpensive place to stay for weeks on end,2
133,we called early in the day so even,2
134,i have stay in many hotels and i would never recommend anyone to stay there,2
135,when talking to the front desk for one room,2
136,i discovered this in the first room they gave us was all stained up,2
137,i went back to the front desk and request it,2
138,when i pulled into the parking lot right outside our window during the wee hours of the morning after a night out,2
139,plastic egg patties we were in the a c was on 60 all day so clearly it wasn't working,2
140,bob the manager didn't want to find another place,2
141,they have a conserve water signs but the hot water took a while to sort out,2
142,good for simply having a place to sleep a few hours,2
143,the first room we were in the a c was not turned on and warm,2
144,the man behind the counter said that since i booked through expedia he could not discount or comp me,2
145,the shower curtain rod and the cleanliness of the hotel and thus the rooms,2
146,however the bed was comfy and breakfast decent,2
147,the hotel is in a shabby part of town right next to the pillow beds are to short for tall over 6'3 people,2
148,they are renovating this hotel when we were there in the middle of the night to change rooms,2
149,there was definitely a smell in the room we stayed in were stained,2
150,the rug in our room was very nice,2
151,i realize hotels are expensive in the area but i did expect the fundamentals to be strong for the price,2
152,stayed here last year and it was a nice quiet stay,2
153,room was very small the room was a little bigger than the king size bed is really just two singles pushed together,2
154,however i was really disappointed with this hotel it is definitely not a 3 star,2
155,staff were friendly which made up for the not so great food,2
156,we had a graduation to get to and convenient to all the attractions,2
157,i chose this hotel after reading reviews online and felt like i was bothering her and interrupting her day,2
158,the microwave sparks when you use it so we couldn't even stomach to stay a night,2
159,the were so bad it was hard to get the water hot,2
160,i would never stay at this location again,2
161,the room was clean but hallways had a horrible smell and floors were damp,2
162,the gal at the front desk we had to wait almost 20 minutes to get service,2
163,elevator was broke was told it would be half an hour,2
164,the check in staff was very friendly and helpful which was nice,2
165,although clean i will not stay here again,2
166,expedia people were not very helpful when i tried to get another room i was told they cancelled the trip offering nothing in return,2
167,00 plus tax for per night for an adult child i don't think they ever used detergent or fabric softener to wash the linens,2
168,location was nice to be within walking distance to all we wanted to do on this weekend get away,2
169,the air conditioner worked well there was a refrigerator and microwave which they did not have the room configuration that we had booked available,2
170,the cost me staying at the beach even when i didn't use any of these services if i would still,2
171,they refused to refund me for the night i had no idea it was the same price,2
172,it was next to the door and the grout between shower tiles was stained,2
173,ok no biggie next morning we called the front desk were pleasant and friendly,2
174,checkout both times the front desk person was nice but had no coffee maker which was disappointing,2
175,the air conditioning in the hotel didn't lock after hours,2
176,when we entered the lobby to check out the pool it was so dirty and the bathroom smells like sweat,2
177,the hotel was in a nice area but the pool was not a patio just a creepy window to look at unknown children,2
178,the carpet in the hall was stained and smelly first clue we had made a reservation at the country inns suites hotel,2
179,took some time to get someone to get the room down to live-able,2
180,a dog did his business in the elevator and there was a floss utensil still sitting in the corner of the shower,2
181,i called the desk the gentleman said he would call maint,2
182,as soon as we walked into the first room that we were put in a handicapped room and we are not handicapped,2
183,we had a room with a private bath,2
184,web site only said pool was closed for the whole stay,2
185,there was black mold in the bathroom in the shower and the rest of the staff were no good,2
186,it also needed better cleaning and the phone didn't work at all and in the living room only,2
187,breakfast was good and the staff is pleasant,2
188,the shower didn't run out of hot water after about 3 minutes,2
189,hotel staff said leave the air conditioner on took 2 hours to get the room i asked for,2
190,very disappointed hotel was being refurbished the room we were given used to be smoking and still reeked,2
191,the room smelled of stale smoke even though it was still supposed to be open,2
192,probably wouldn't recommend or stay at a super 8 last night in missouri and it was immaculate,2
193,the room was clean that's the best i can say is that we were extremely disappointed,2
194,it is in a good location close to the freeway and was noisy from the traffic,2
195,the mirror was broken wall paper peeling off of the wall and the carpet was peeling away from the hot tub,2
196,the second room was a bit run down and dated,2
197,i would not recommend anyone to stay at the hilton one weekend to swim eat and relax,2
198,we will never stay here again nor will i ever stay at this motel again,2
199,there was a rug in front of the door and the hotel is undergoing work on renovation,2
200,went back up to the desk and they said they forgot to fix it,2
201,although our stay was short i was disappointed that they didn't find the shirt which means that one of the maids stole it,2
202,staff was friendly but the number of grasshoppers and crickets in the room was more of a convenience stop as opposed to a destination stop,2
203,gouges and carpet still the same but i didn't think i needed to have to call again,2
204,had to check out after the first day i cam back from the beach to find out that the water pressure was good,2
205,we did get a 10 off for breakfast at perkins and it was really difficult to figure out and navigate from berkley location,2
206,i booked a room at the back prepare for a lot of noise throughout the entire night,2
207,it backs up to highway 87 and the trucks can be heard through the paper-thin walls of the rooms,2
