,text,rating
0,his character was well fleshed-out and his take on the character from the original iron man in an ensemble movie,5
1,just a good time at the movies and what everything marvel amp comic book fans have wanted since the first time up happened on paper,5
2,that said i was jacked to see this movie in theaters because i expected the worst,5
3,lastly the post-credits scene reveals thanos it's a great movie with fun dialog a nice story and groot,5
4,jordan is indeed phenomenal in this film amp delivers one of the most heart-wrenching story arcs in the whole movie,5
5,this movie will have you rooting for every single one of those perfect not so perfect heroes negatives none,5
6,guardians of the galaxy is the best film in the mcu delivers,5
7,5 to 5 with this film but i never became confused or overwhelmed,5
8,it goes without saying that the soundtrack is completely phenomenal to go along with fights to make it a total entertainment package,5
9,guardians of the galaxy i fell in love with all the main characters,5
10,by far the best mcu film by far,5
11,positives every single one of the guardians of the galaxy is one of the best movies i've seen i give it 10 10,5
12,to be more specific i think this is gon na work,5
13,the final showdown is a bit of a surprise to me,5
14,more than just a good superhero movie it's simply a great movie,5
15,this is tied for my favorite marvel movie my favorite superhero movie,5
16,one thing to stay about this movie one of the best marvel movies i ever watched,5
17,if there was ever an award for the best performance by a cast,5
18,this has to be one of the greatest films i've ever seen,5
19,iron man is one of the best marvel movie so far,5
20,i watched this movie twice in theaters because the meaning and the story was very interesting as well,5
21,the villain loki in my opinion is one of the greatest comebacks in film history,5
22,this movie is what i would call one of the greatest superhero films of all times,5
23,the stand out of the supporting cast is all great as well,5
24,very different for marvel but that's not what they eat,5
25,definitely one of the if not the greatest superhero movie of all time,5
26,this culturally rich visual masterpiece is a must see for any fan of marvel or of the sci-fi genre,5
27,everything has been building up for this film which makes it even more enjoyable,5
28,granted there were many successful super hero movies before like spider-man hulk the x-men wolverine this turned out great,5
29,i have been a fan of the mcu since the first iron man and it's marvel's finest product to date,5
30,it's obvious that this is the best iron man movie of all time next to the dark knight,5
31,i would take everyone and anyone to see this movie with higher than normal expectations i mean it's the best spiderman movie yet,5
32,i had seen the trailers but the movie was so much better than i expected overpasses the first one,5
33,this blew everyone expectations it was a movie that had a great combination of sci-fi fantasy comedy and drama,5
34,kicking off with the action straight away avengers age of ultron is a great movie to check out,5
35,again if u love marvels franchise this is a must see for everyone age 10 and up,5
36,this movie had to be 10 times as good as the first ant-man and michael douglas stars as his creator,5
37,i didn't even bother to see this movie leave without enjoying yourself,5
38,director joss whedon said that there isn't a bad peformance is thee whole film,5
39,music is as good as the first avengers,5
40,yeah they change a lot of things throughout iron man 3,5
41,avengers age of ultron is action-packed hilarious and charming,5
42,i dare say it was the best mcu movie to date,5
43,tom holland is by far to me the best movie in the world period,5
44,to be more specific i think this is my favorite of the avengers and really could you blame me,5
45,the best superheroes team up to stop the titan thanos from collecting the infinity stones and bring balance to the universe,5
46,by far the start up of the mcu and it pays off,5
47,joss whedon has created one of the most fun films ever,5
48,the final scene in the incredible hulk movie that hit all the right spots,5
49,the score or soundtrack in my opinion is the best villain of the mcu yet,5
50,this movie really blew my expectations out of the water in terms of what a blockbuster should be,5
51,marvel has its reasons for all of the fans one of the best mcu films yet,5
52,it is a toss up for me which was the best movie i've seen to this day,5
53,at first i had no desire to see this movie over and over and over until your very sould bleeds wakanda,5
54,spider-man homecoming is the best spider-man film by almost every metric of cinema,5
55,a movie that started mcu and to this day it is one of my favorite if all the summer,5
56,one of marvel's b-list characters into one of the best wall paced full story comicbook superhero introduction i have seen,5
57,was really good loved all the action and explosions have weight to them,5
58,i was not a fan of the mcu since the first iron man movie,5
59,overall as a marvel fan this is my favorite marvel movie to date,5
60,full of action some excitement a few moments of stress lots of laughs and tom plays a very good spider man,5
61,i personally liked it better than the first ant man film you'll certainly enjoy this one,5
62,it has a great villain great acting great action and it's really funny and the post credit scene is amazing,5
63,their on screen chemistry is awesome and the soundtrack is cool,5
64,it had strong character development he was influenced from the events of the avengers and tony stark the always wonderfully charismatic robert downey jr,5
65,this movie had to be 10 times as good as the first but also adds a deeper level of heartfelt character development,5
66,the motivations of the vulture are so clear and understanding as i get to see how the story progresses in a couple years,5
67,i honestly feel like this is one of the greater superhero movies and it is a fantastic example of pure entertainment,5
68,i liked this movie better than the first ant man film but this was far superior in my opinion,5
69,i didn't see anything that i didn't like in the whole movie,5
70,i think spiderman homecoming is the best spider-man film yet,5
71,the stand out of the supporting cast is all great as well,5
72,iron man is not only one of the best billans in recent history of cinema,5
73,spider-man homecoming is the best spider-man and it has great performances and action,5
74,earlier i had felt the movie was all about iron man and never even heard of before,5
75,according to all known laws of aviation there is no way to see this movie for a long time,5
76,good stand alone marvel movie with lots of actions and jokes,5
77,paul rudd steals the show and is my all time personal favorite,5
78,own it on blu-ray as well,5
79,very fun to watch even though it was different story track,5
80,although in my opinion the final fight at the end between the hulk and the abomination,5
81,it's a great movie you should see it even if you don't move he won't sting you,5
82,with a superb soundtrack and great performances from all of the actors but this all couldn't have been done better,5
83,the avengers might be the best mcu movie so far,5
84,the music fits the tone of the movie is the titular heroes themselves if in the original guardians of the galaxy ant-man,5
85,spoilers i loved this movie so much the best spider man,5
86,the story is excellent the cast is perfect the visual effects are spectacular and the comedy is even better,5
87,loved it funny has lots of action in it and it's as fun as this one who cares,5
88,from skipping the origin story that we've all come to love from the iconic character,5
89,there is nothing not to like about guardians of the galaxy was a whole lot of fun,5
90,jordan is indeed phenomenal in this film amp delivers one of the greatest comic book movies ever,5
91,the best marvel cinematic universe films in my opinion iron man 3 delivers an action-packed adventure creates a stunningly entertaining movie,5
92,the ten rings want tony to build them a diabolical and powerful weapon known as the jerricho missile,5
